Wed Apr 17 15:43:54 2024    profile_stats.prof

         387255327 function calls (336738144 primitive calls) in 106.682 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   6164/1    0.004    0.000    0.136    0.136 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/copy.py:200(_deepcopy_list)
        1    0.002    0.002    0.128    0.128 /home/ganesank/project/phytclust/phytclust/validation.py:11(validate_tree)
        2    0.000    0.000    0.089    0.045 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/artist.py:93(draw_wrapper)
    210/2    0.000    0.000    0.089    0.045 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/artist.py:54(draw_wrapper)
        2    0.000    0.000    0.089    0.045 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/figure.py:3120(draw)
      4/2    0.000    0.000    0.081    0.040 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/image.py:113(_draw_list_compositing_images)
        2    0.000    0.000    0.081    0.040 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axes/_base.py:2999(draw)
        2    0.003    0.001    0.066    0.033 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/Bio/Phylo/BaseTree.py:410(get_nonterminals)
       48    0.002    0.000    0.060    0.001 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axis.py:1257(_update_ticks)
        8    0.000    0.000    0.052    0.006 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axis.py:1309(get_tightbbox)
        1    0.000    0.000    0.050    0.050 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/figure.py:1707(get_tightbbox)
    12333    0.047    0.000    0.047    0.000 {built-in method numpy.empty}
        2    0.000    0.000    0.046    0.023 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/backend_bases.py:2232(<lambda>)
        2    0.000    0.000    0.046    0.023 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/backends/backend_agg.py:462(print_png)
        2    0.000    0.000    0.046    0.023 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/backends/backend_agg.py:452(_print_pil)
        1    0.000    0.000    0.045    0.045 /home/ganesank/project/phytclust/phytclust/phytclust.py:82(calculate_num_terminals)
        2    0.000    0.000    0.044    0.022 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axes/_base.py:4329(get_tightbbox)
        4    0.000    0.000    0.044    0.011 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axis.py:1368(draw)
    62545    0.040    0.000    0.040    0.000 {method 'argmin' of 'numpy.ndarray' objects}
208548/208526    0.035    0.000    0.039    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.037    0.037 /home/ganesank/project/phytclust/phytclust/phytclust.py:58(prune_outgroup)
        4    0.000    0.000    0.036    0.009 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axes/_base.py:2937(_update_title_position)
        2    0.000    0.000    0.036    0.018 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/backends/backend_agg.py:392(draw)
        2    0.002    0.001    0.032    0.016 /home/ganesank/project/phytclust/phytclust/phytclust.py:60(<genexpr>)
        1    0.001    0.001    0.031    0.031 /home/ganesank/project/phytclust/phytclust/validation.py:30(<listcomp>)
      194    0.001    0.000    0.029    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/text.py:918(get_window_extent)
